Date,Ref ID,Type,Description,Agency,Amount,Balance
05/25/2025,98100273,Hourly,"Invoice for CyberPulse Interactive - Sprint 137",,884.00,144956.10
05/25/2025,98100274,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 137",,-88.40,144867.70
06/26/2026,98100275,Fixed Price,"Invoice for BlueSky Solutions - Sprint 138",,1197.00,146064.70
06/26/2026,98100276,Service Fee,"Service Fee for BlueSky Solutions - Sprint 138",,-119.70,145945.00
07/27/2025,98100277,Hourly,"Invoice for Starlight Interactive - Sprint 139",,1264.00,147209.00
07/27/2025,98100278,Service Fee,"Service Fee for Starlight Interactive - Sprint 139",,-126.40,147082.60
08/28/2026,98100279,Fixed Price,"Invoice for Quantum Code Soft - Sprint 140",,1148.00,148230.60
08/28/2026,98100280,Service Fee,"Service Fee for Quantum Code Soft - Sprint 140",,-114.80,148115.80
09/01/2025,98100281,Hourly,"Invoice for TechFlow Labs LLC - Sprint 141",,561.00,148676.80
09/01/2025,98100282,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 141",,-56.10,148620.70
10/02/2026,98100283,Fixed Price,"Invoice for Acme Corp - Sprint 142",,571.00,149191.70
10/02/2026,98100284,Service Fee,"Service Fee for Acme Corp - Sprint 142",,-57.10,149134.60
11/03/2025,98100285,Hourly,"Invoice for Horizon Media Ltd - Sprint 143",,644.00,149778.60
11/03/2025,98100286,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 143",,-64.40,149714.20
12/04/2026,98100287,Fixed Price,"Invoice for Apex Digital Inc - Sprint 144",,902.00,150616.20
12/04/2026,98100288,Service Fee,"Service Fee for Apex Digital Inc - Sprint 144",,-90.20,150526.00
01/05/2025,98100289,Hourly,"Invoice for Vanguard Software Studio - Sprint 145",,1767.00,152293.00
01/05/2025,98100290,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 145",,-176.70,152116.30
02/06/2026,98100291,Fixed Price,"Invoice for Nexus Systems - Sprint 146",,1969.00,154085.30
02/06/2026,98100292,Service Fee,"Service Fee for Nexus Systems - Sprint 146",,-196.90,153888.40
03/07/2025,98100293,Hourly,"Invoice for CyberPulse Interactive - Sprint 147",,1762.00,155650.40
03/07/2025,98100294,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 147",,-176.20,155474.20
04/08/2026,98100295,Fixed Price,"Invoice for BlueSky Solutions - Sprint 148",,484.00,155958.20
04/08/2026,98100296,Service Fee,"Service Fee for BlueSky Solutions - Sprint 148",,-48.40,155909.80
05/09/2025,98100297,Hourly,"Invoice for Starlight Interactive - Sprint 149",,255.00,156164.80
05/09/2025,98100298,Service Fee,"Service Fee for Starlight Interactive - Sprint 149",,-25.50,156139.30
06/10/2026,98100299,Fixed Price,"Invoice for Quantum Code Soft - Sprint 150",,928.00,157067.30
06/10/2026,98100300,Service Fee,"Service Fee for Quantum Code Soft - Sprint 150",,-92.80,156974.50
07/11/2025,98100301,Hourly,"Invoice for TechFlow Labs LLC - Sprint 151",,1658.00,158632.50
07/11/2025,98100302,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 151",,-165.80,158466.70
08/12/2026,98100303,Fixed Price,"Invoice for Acme Corp - Sprint 152",,1378.00,159844.70
08/12/2026,98100304,Service Fee,"Service Fee for Acme Corp - Sprint 152",,-137.80,159706.90
09/13/2025,98100305,Hourly,"Invoice for Horizon Media Ltd - Sprint 153",,456.00,160162.90
09/13/2025,98100306,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 153",,-45.60,160117.30
10/14/2026,98100307,Fixed Price,"Invoice for Apex Digital Inc - Sprint 154",,746.00,160863.30
10/14/2026,98100308,Service Fee,"Service Fee for Apex Digital Inc - Sprint 154",,-74.60,160788.70
11/15/2025,98100309,Hourly,"Invoice for Vanguard Software Studio - Sprint 155",,1704.00,162492.70
11/15/2025,98100310,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 155",,-170.40,162322.30
12/16/2026,98100311,Fixed Price,"Invoice for Nexus Systems - Sprint 156",,627.00,162949.30
12/16/2026,98100312,Service Fee,"Service Fee for Nexus Systems - Sprint 156",,-62.70,162886.60
01/17/2025,98100313,Hourly,"Invoice for CyberPulse Interactive - Sprint 157",,1621.00,164507.60
01/17/2025,98100314,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 157",,-162.10,164345.50
02/18/2026,98100315,Fixed Price,"Invoice for BlueSky Solutions - Sprint 158",,1616.00,165961.50
02/18/2026,98100316,Service Fee,"Service Fee for BlueSky Solutions - Sprint 158",,-161.60,165799.90
03/19/2025,98100317,Hourly,"Invoice for Starlight Interactive - Sprint 159",,571.00,166370.90
03/19/2025,98100318,Service Fee,"Service Fee for Starlight Interactive - Sprint 159",,-57.10,166313.80
04/20/2026,98100319,Fixed Price,"Invoice for Quantum Code Soft - Sprint 160",,758.00,167071.80
04/20/2026,98100320,Service Fee,"Service Fee for Quantum Code Soft - Sprint 160",,-75.80,166996.00
05/21/2025,98100321,Hourly,"Invoice for TechFlow Labs LLC - Sprint 161",,476.00,167472.00
05/21/2025,98100322,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 161",,-47.60,167424.40
06/22/2026,98100323,Fixed Price,"Invoice for Acme Corp - Sprint 162",,1714.00,169138.40
06/22/2026,98100324,Service Fee,"Service Fee for Acme Corp - Sprint 162",,-171.40,168967.00
07/23/2025,98100325,Hourly,"Invoice for Horizon Media Ltd - Sprint 163",,1723.00,170690.00
07/23/2025,98100326,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 163",,-172.30,170517.70
08/24/2026,98100327,Fixed Price,"Invoice for Apex Digital Inc - Sprint 164",,1967.00,172484.70
08/24/2026,98100328,Service Fee,"Service Fee for Apex Digital Inc - Sprint 164",,-196.70,172288.00
09/25/2025,98100329,Hourly,"Invoice for Vanguard Software Studio - Sprint 165",,992.00,173280.00
09/25/2025,98100330,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 165",,-99.20,173180.80
10/26/2026,98100331,Fixed Price,"Invoice for Nexus Systems - Sprint 166",,558.00,173738.80
10/26/2026,98100332,Service Fee,"Service Fee for Nexus Systems - Sprint 166",,-55.80,173683.00
11/27/2025,98100333,Hourly,"Invoice for CyberPulse Interactive - Sprint 167",,509.00,174192.00
11/27/2025,98100334,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 167",,-50.90,174141.10
12/28/2026,98100335,Fixed Price,"Invoice for BlueSky Solutions - Sprint 168",,1169.00,175310.10
12/28/2026,98100336,Service Fee,"Service Fee for BlueSky Solutions - Sprint 168",,-116.90,175193.20
01/01/2025,98100337,Hourly,"Invoice for Starlight Interactive - Sprint 169",,1395.00,176588.20
01/01/2025,98100338,Service Fee,"Service Fee for Starlight Interactive - Sprint 169",,-139.50,176448.70
02/02/2026,98100339,Fixed Price,"Invoice for Quantum Code Soft - Sprint 170",,1970.00,178418.70
02/02/2026,98100340,Service Fee,"Service Fee for Quantum Code Soft - Sprint 170",,-197.00,178221.70
03/03/2025,98100341,Hourly,"Invoice for TechFlow Labs LLC - Sprint 171",,690.00,178911.70
03/03/2025,98100342,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 171",,-69.00,178842.70
04/04/2026,98100343,Fixed Price,"Invoice for Acme Corp - Sprint 172",,443.00,179285.70
04/04/2026,98100344,Service Fee,"Service Fee for Acme Corp - Sprint 172",,-44.30,179241.40
05/05/2025,98100345,Hourly,"Invoice for Horizon Media Ltd - Sprint 173",,1179.00,180420.40
05/05/2025,98100346,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 173",,-117.90,180302.50
06/06/2026,98100347,Fixed Price,"Invoice for Apex Digital Inc - Sprint 174",,1564.00,181866.50
06/06/2026,98100348,Service Fee,"Service Fee for Apex Digital Inc - Sprint 174",,-156.40,181710.10
07/07/2025,98100349,Hourly,"Invoice for Vanguard Software Studio - Sprint 175",,573.00,182283.10
07/07/2025,98100350,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 175",,-57.30,182225.80
08/08/2026,98100351,Fixed Price,"Invoice for Nexus Systems - Sprint 176",,442.00,182667.80
08/08/2026,98100352,Service Fee,"Service Fee for Nexus Systems - Sprint 176",,-44.20,182623.60
09/09/2025,98100353,Hourly,"Invoice for CyberPulse Interactive - Sprint 177",,1044.00,183667.60
09/09/2025,98100354,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 177",,-104.40,183563.20
10/10/2026,98100355,Fixed Price,"Invoice for BlueSky Solutions - Sprint 178",,1286.00,184849.20
10/10/2026,98100356,Service Fee,"Service Fee for BlueSky Solutions - Sprint 178",,-128.60,184720.60
11/11/2025,98100357,Hourly,"Invoice for Starlight Interactive - Sprint 179",,912.00,185632.60
11/11/2025,98100358,Service Fee,"Service Fee for Starlight Interactive - Sprint 179",,-91.20,185541.40
12/12/2026,98100359,Fixed Price,"Invoice for Quantum Code Soft - Sprint 180",,833.00,186374.40
12/12/2026,98100360,Service Fee,"Service Fee for Quantum Code Soft - Sprint 180",,-83.30,186291.10
01/13/2025,98100361,Hourly,"Invoice for TechFlow Labs LLC - Sprint 181",,1732.00,188023.10
01/13/2025,98100362,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 181",,-173.20,187849.90
02/14/2026,98100363,Fixed Price,"Invoice for Acme Corp - Sprint 182",,835.00,188684.90
02/14/2026,98100364,Service Fee,"Service Fee for Acme Corp - Sprint 182",,-83.50,188601.40
03/15/2025,98100365,Hourly,"Invoice for Horizon Media Ltd - Sprint 183",,844.00,189445.40
03/15/2025,98100366,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 183",,-84.40,189361.00
04/16/2026,98100367,Fixed Price,"Invoice for Apex Digital Inc - Sprint 184",,282.00,189643.00
04/16/2026,98100368,Service Fee,"Service Fee for Apex Digital Inc - Sprint 184",,-28.20,189614.80
05/17/2025,98100369,Hourly,"Invoice for Vanguard Software Studio - Sprint 185",,651.00,190265.80
05/17/2025,98100370,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 185",,-65.10,190200.70
06/18/2026,98100371,Fixed Price,"Invoice for Nexus Systems - Sprint 186",,1120.00,191320.70
06/18/2026,98100372,Service Fee,"Service Fee for Nexus Systems - Sprint 186",,-112.00,191208.70
07/19/2025,98100373,Hourly,"Invoice for CyberPulse Interactive - Sprint 187",,259.00,191467.70
07/19/2025,98100374,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 187",,-25.90,191441.80
08/20/2026,98100375,Fixed Price,"Invoice for BlueSky Solutions - Sprint 188",,726.00,192167.80
08/20/2026,98100376,Service Fee,"Service Fee for BlueSky Solutions - Sprint 188",,-72.60,192095.20
09/21/2025,98100377,Hourly,"Invoice for Starlight Interactive - Sprint 189",,331.00,192426.20
09/21/2025,98100378,Service Fee,"Service Fee for Starlight Interactive - Sprint 189",,-33.10,192393.10
10/22/2026,98100379,Fixed Price,"Invoice for Quantum Code Soft - Sprint 190",,1728.00,194121.10
10/22/2026,98100380,Service Fee,"Service Fee for Quantum Code Soft - Sprint 190",,-172.80,193948.30
11/23/2025,98100381,Hourly,"Invoice for TechFlow Labs LLC - Sprint 191",,795.00,194743.30
11/23/2025,98100382,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 191",,-79.50,194663.80
12/24/2026,98100383,Fixed Price,"Invoice for Acme Corp - Sprint 192",,1156.00,195819.80
12/24/2026,98100384,Service Fee,"Service Fee for Acme Corp - Sprint 192",,-115.60,195704.20
01/25/2025,98100385,Hourly,"Invoice for Horizon Media Ltd - Sprint 193",,887.00,196591.20
01/25/2025,98100386,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 193",,-88.70,196502.50
02/26/2026,98100387,Fixed Price,"Invoice for Apex Digital Inc - Sprint 194",,356.00,196858.50
02/26/2026,98100388,Service Fee,"Service Fee for Apex Digital Inc - Sprint 194",,-35.60,196822.90
03/27/2025,98100389,Hourly,"Invoice for Vanguard Software Studio - Sprint 195",,805.00,197627.90
03/27/2025,98100390,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 195",,-80.50,197547.40
04/28/2026,98100391,Fixed Price,"Invoice for Nexus Systems - Sprint 196",,502.00,198049.40
04/28/2026,98100392,Service Fee,"Service Fee for Nexus Systems - Sprint 196",,-50.20,197999.20
05/01/2025,98100393,Hourly,"Invoice for CyberPulse Interactive - Sprint 197",,1277.00,199276.20
05/01/2025,98100394,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 197",,-127.70,199148.50
06/02/2026,98100395,Fixed Price,"Invoice for BlueSky Solutions - Sprint 198",,563.00,199711.50
06/02/2026,98100396,Service Fee,"Service Fee for BlueSky Solutions - Sprint 198",,-56.30,199655.20
07/03/2025,98100397,Hourly,"Invoice for Starlight Interactive - Sprint 199",,528.00,200183.20
07/03/2025,98100398,Service Fee,"Service Fee for Starlight Interactive - Sprint 199",,-52.80,200130.40
08/04/2026,98100399,Fixed Price,"Invoice for Quantum Code Soft - Sprint 200",,1487.00,201617.40
08/04/2026,98100400,Service Fee,"Service Fee for Quantum Code Soft - Sprint 200",,-148.70,201468.70
09/05/2025,98100401,Hourly,"Invoice for TechFlow Labs LLC - Sprint 201",,334.00,201802.70
09/05/2025,98100402,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 201",,-33.40,201769.30
10/06/2026,98100403,Fixed Price,"Invoice for Acme Corp - Sprint 202",,1302.00,203071.30
10/06/2026,98100404,Service Fee,"Service Fee for Acme Corp - Sprint 202",,-130.20,202941.10
11/07/2025,98100405,Hourly,"Invoice for Horizon Media Ltd - Sprint 203",,783.00,203724.10
11/07/2025,98100406,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 203",,-78.30,203645.80
12/08/2026,98100407,Fixed Price,"Invoice for Apex Digital Inc - Sprint 204",,1154.00,204799.80
12/08/2026,98100408,Service Fee,"Service Fee for Apex Digital Inc - Sprint 204",,-115.40,204684.40
01/09/2025,98100409,Hourly,"Invoice for Vanguard Software Studio - Sprint 205",,1724.00,206408.40
01/09/2025,98100410,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 205",,-172.40,206236.00
02/10/2026,98100411,Fixed Price,"Invoice for Nexus Systems - Sprint 206",,1798.00,208034.00
02/10/2026,98100412,Service Fee,"Service Fee for Nexus Systems - Sprint 206",,-179.80,207854.20
03/11/2025,98100413,Hourly,"Invoice for CyberPulse Interactive - Sprint 207",,1694.00,209548.20
03/11/2025,98100414,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 207",,-169.40,209378.80
04/12/2026,98100415,Fixed Price,"Invoice for BlueSky Solutions - Sprint 208",,1468.00,210846.80
04/12/2026,98100416,Service Fee,"Service Fee for BlueSky Solutions - Sprint 208",,-146.80,210700.00
05/13/2025,98100417,Hourly,"Invoice for Starlight Interactive - Sprint 209",,862.00,211562.00
05/13/2025,98100418,Service Fee,"Service Fee for Starlight Interactive - Sprint 209",,-86.20,211475.80
06/14/2026,98100419,Fixed Price,"Invoice for Quantum Code Soft - Sprint 210",,659.00,212134.80
06/14/2026,98100420,Service Fee,"Service Fee for Quantum Code Soft - Sprint 210",,-65.90,212068.90
07/15/2025,98100421,Hourly,"Invoice for TechFlow Labs LLC - Sprint 211",,994.00,213062.90
07/15/2025,98100422,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 211",,-99.40,212963.50
08/16/2026,98100423,Fixed Price,"Invoice for Acme Corp - Sprint 212",,609.00,213572.50
08/16/2026,98100424,Service Fee,"Service Fee for Acme Corp - Sprint 212",,-60.90,213511.60
09/17/2025,98100425,Hourly,"Invoice for Horizon Media Ltd - Sprint 213",,387.00,213898.60
09/17/2025,98100426,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 213",,-38.70,213859.90
10/18/2026,98100427,Fixed Price,"Invoice for Apex Digital Inc - Sprint 214",,346.00,214205.90
10/18/2026,98100428,Service Fee,"Service Fee for Apex Digital Inc - Sprint 214",,-34.60,214171.30
11/19/2025,98100429,Hourly,"Invoice for Vanguard Software Studio - Sprint 215",,1882.00,216053.30
11/19/2025,98100430,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 215",,-188.20,215865.10
12/20/2026,98100431,Fixed Price,"Invoice for Nexus Systems - Sprint 216",,1680.00,217545.10
12/20/2026,98100432,Service Fee,"Service Fee for Nexus Systems - Sprint 216",,-168.00,217377.10
01/21/2025,98100433,Hourly,"Invoice for CyberPulse Interactive - Sprint 217",,536.00,217913.10
01/21/2025,98100434,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 217",,-53.60,217859.50
02/22/2026,98100435,Fixed Price,"Invoice for BlueSky Solutions - Sprint 218",,1272.00,219131.50
02/22/2026,98100436,Service Fee,"Service Fee for BlueSky Solutions - Sprint 218",,-127.20,219004.30
03/23/2025,98100437,Hourly,"Invoice for Starlight Interactive - Sprint 219",,1780.00,220784.30
03/23/2025,98100438,Service Fee,"Service Fee for Starlight Interactive - Sprint 219",,-178.00,220606.30
04/24/2026,98100439,Fixed Price,"Invoice for Quantum Code Soft - Sprint 220",,445.00,221051.30
04/24/2026,98100440,Service Fee,"Service Fee for Quantum Code Soft - Sprint 220",,-44.50,221006.80
05/25/2025,98100441,Hourly,"Invoice for TechFlow Labs LLC - Sprint 221",,884.00,221890.80
05/25/2025,98100442,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 221",,-88.40,221802.40
06/26/2026,98100443,Fixed Price,"Invoice for Acme Corp - Sprint 222",,562.00,222364.40
06/26/2026,98100444,Service Fee,"Service Fee for Acme Corp - Sprint 222",,-56.20,222308.20
07/27/2025,98100445,Hourly,"Invoice for Horizon Media Ltd - Sprint 223",,1048.00,223356.20
07/27/2025,98100446,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 223",,-104.80,223251.40
08/28/2026,98100447,Fixed Price,"Invoice for Apex Digital Inc - Sprint 224",,1227.00,224478.40
08/28/2026,98100448,Service Fee,"Service Fee for Apex Digital Inc - Sprint 224",,-122.70,224355.70
09/01/2025,98100449,Hourly,"Invoice for Vanguard Software Studio - Sprint 225",,1233.00,225588.70
09/01/2025,98100450,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 225",,-123.30,225465.40
10/02/2026,98100451,Fixed Price,"Invoice for Nexus Systems - Sprint 226",,444.00,225909.40
10/02/2026,98100452,Service Fee,"Service Fee for Nexus Systems - Sprint 226",,-44.40,225865.00
11/03/2025,98100453,Hourly,"Invoice for CyberPulse Interactive - Sprint 227",,1573.00,227438.00
11/03/2025,98100454,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 227",,-157.30,227280.70
12/04/2026,98100455,Fixed Price,"Invoice for BlueSky Solutions - Sprint 228",,273.00,227553.70
12/04/2026,98100456,Service Fee,"Service Fee for BlueSky Solutions - Sprint 228",,-27.30,227526.40
01/05/2025,98100457,Hourly,"Invoice for Starlight Interactive - Sprint 229",,1343.00,228869.40
01/05/2025,98100458,Service Fee,"Service Fee for Starlight Interactive - Sprint 229",,-134.30,228735.10
02/06/2026,98100459,Fixed Price,"Invoice for Quantum Code Soft - Sprint 230",,1810.00,230545.10
02/06/2026,98100460,Service Fee,"Service Fee for Quantum Code Soft - Sprint 230",,-181.00,230364.10
03/07/2025,98100461,Hourly,"Invoice for TechFlow Labs LLC - Sprint 231",,713.00,231077.10
03/07/2025,98100462,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 231",,-71.30,231005.80
04/08/2026,98100463,Fixed Price,"Invoice for Acme Corp - Sprint 232",,1186.00,232191.80
04/08/2026,98100464,Service Fee,"Service Fee for Acme Corp - Sprint 232",,-118.60,232073.20
05/09/2025,98100465,Hourly,"Invoice for Horizon Media Ltd - Sprint 233",,671.00,232744.20
05/09/2025,98100466,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 233",,-67.10,232677.10
06/10/2026,98100467,Fixed Price,"Invoice for Apex Digital Inc - Sprint 234",,1498.00,234175.10
06/10/2026,98100468,Service Fee,"Service Fee for Apex Digital Inc - Sprint 234",,-149.80,234025.30
07/11/2025,98100469,Hourly,"Invoice for Vanguard Software Studio - Sprint 235",,790.00,234815.30
07/11/2025,98100470,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 235",,-79.00,234736.30
08/12/2026,98100471,Fixed Price,"Invoice for Nexus Systems - Sprint 236",,298.00,235034.30
08/12/2026,98100472,Service Fee,"Service Fee for Nexus Systems - Sprint 236",,-29.80,235004.50
09/13/2025,98100473,Hourly,"Invoice for CyberPulse Interactive - Sprint 237",,1317.00,236321.50
09/13/2025,98100474,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 237",,-131.70,236189.80
10/14/2026,98100475,Fixed Price,"Invoice for BlueSky Solutions - Sprint 238",,704.00,236893.80
10/14/2026,98100476,Service Fee,"Service Fee for BlueSky Solutions - Sprint 238",,-70.40,236823.40
11/15/2025,98100477,Hourly,"Invoice for Starlight Interactive - Sprint 239",,1179.00,238002.40
11/15/2025,98100478,Service Fee,"Service Fee for Starlight Interactive - Sprint 239",,-117.90,237884.50
12/16/2026,98100479,Fixed Price,"Invoice for Quantum Code Soft - Sprint 240",,952.00,238836.50
12/16/2026,98100480,Service Fee,"Service Fee for Quantum Code Soft - Sprint 240",,-95.20,238741.30
01/17/2025,98100481,Hourly,"Invoice for TechFlow Labs LLC - Sprint 241",,986.00,239727.30
01/17/2025,98100482,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 241",,-98.60,239628.70
02/18/2026,98100483,Fixed Price,"Invoice for Acme Corp - Sprint 242",,1765.00,241393.70
02/18/2026,98100484,Service Fee,"Service Fee for Acme Corp - Sprint 242",,-176.50,241217.20
03/19/2025,98100485,Hourly,"Invoice for Horizon Media Ltd - Sprint 243",,1691.00,242908.20
03/19/2025,98100486,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 243",,-169.10,242739.10
04/20/2026,98100487,Fixed Price,"Invoice for Apex Digital Inc - Sprint 244",,1685.00,244424.10
04/20/2026,98100488,Service Fee,"Service Fee for Apex Digital Inc - Sprint 244",,-168.50,244255.60
05/21/2025,98100489,Hourly,"Invoice for Vanguard Software Studio - Sprint 245",,313.00,244568.60
05/21/2025,98100490,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 245",,-31.30,244537.30
06/22/2026,98100491,Fixed Price,"Invoice for Nexus Systems - Sprint 246",,1993.00,246530.30
06/22/2026,98100492,Service Fee,"Service Fee for Nexus Systems - Sprint 246",,-199.30,246331.00
07/23/2025,98100493,Hourly,"Invoice for CyberPulse Interactive - Sprint 247",,1783.00,248114.00
07/23/2025,98100494,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 247",,-178.30,247935.70
08/24/2026,98100495,Fixed Price,"Invoice for BlueSky Solutions - Sprint 248",,1528.00,249463.70
08/24/2026,98100496,Service Fee,"Service Fee for BlueSky Solutions - Sprint 248",,-152.80,249310.90
09/25/2025,98100497,Hourly,"Invoice for Starlight Interactive - Sprint 249",,1756.00,251066.90
09/25/2025,98100498,Service Fee,"Service Fee for Starlight Interactive - Sprint 249",,-175.60,250891.30
10/26/2026,98100499,Fixed Price,"Invoice for Quantum Code Soft - Sprint 250",,1801.00,252692.30
10/26/2026,98100500,Service Fee,"Service Fee for Quantum Code Soft - Sprint 250",,-180.10,252512.20
11/27/2025,98100501,Hourly,"Invoice for TechFlow Labs LLC - Sprint 251",,1807.00,254319.20
11/27/2025,98100502,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 251",,-180.70,254138.50
12/28/2026,98100503,Fixed Price,"Invoice for Acme Corp - Sprint 252",,1506.00,255644.50
12/28/2026,98100504,Service Fee,"Service Fee for Acme Corp - Sprint 252",,-150.60,255493.90
01/01/2025,98100505,Hourly,"Invoice for Horizon Media Ltd - Sprint 253",,1995.00,257488.90
01/01/2025,98100506,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 253",,-199.50,257289.40
02/02/2026,98100507,Fixed Price,"Invoice for Apex Digital Inc - Sprint 254",,735.00,258024.40
02/02/2026,98100508,Service Fee,"Service Fee for Apex Digital Inc - Sprint 254",,-73.50,257950.90
03/03/2025,98100509,Hourly,"Invoice for Vanguard Software Studio - Sprint 255",,864.00,258814.90
03/03/2025,98100510,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 255",,-86.40,258728.50
04/04/2026,98100511,Fixed Price,"Invoice for Nexus Systems - Sprint 256",,1080.00,259808.50
04/04/2026,98100512,Service Fee,"Service Fee for Nexus Systems - Sprint 256",,-108.00,259700.50
05/05/2025,98100513,Hourly,"Invoice for CyberPulse Interactive - Sprint 257",,707.00,260407.50
05/05/2025,98100514,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 257",,-70.70,260336.80
06/06/2026,98100515,Fixed Price,"Invoice for BlueSky Solutions - Sprint 258",,1750.00,262086.80
06/06/2026,98100516,Service Fee,"Service Fee for BlueSky Solutions - Sprint 258",,-175.00,261911.80
07/07/2025,98100517,Hourly,"Invoice for Starlight Interactive - Sprint 259",,1321.00,263232.80
07/07/2025,98100518,Service Fee,"Service Fee for Starlight Interactive - Sprint 259",,-132.10,263100.70
08/08/2026,98100519,Fixed Price,"Invoice for Quantum Code Soft - Sprint 260",,1283.00,264383.70
08/08/2026,98100520,Service Fee,"Service Fee for Quantum Code Soft - Sprint 260",,-128.30,264255.40
09/09/2025,98100521,Hourly,"Invoice for TechFlow Labs LLC - Sprint 261",,1643.00,265898.40
09/09/2025,98100522,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 261",,-164.30,265734.10
10/10/2026,98100523,Fixed Price,"Invoice for Acme Corp - Sprint 262",,1877.00,267611.10
10/10/2026,98100524,Service Fee,"Service Fee for Acme Corp - Sprint 262",,-187.70,267423.40
11/11/2025,98100525,Hourly,"Invoice for Horizon Media Ltd - Sprint 263",,729.00,268152.40
11/11/2025,98100526,Service Fee,"Service Fee for Horizon Media Ltd - Sprint 263",,-72.90,268079.50
12/12/2026,98100527,Fixed Price,"Invoice for Apex Digital Inc - Sprint 264",,1843.00,269922.50
12/12/2026,98100528,Service Fee,"Service Fee for Apex Digital Inc - Sprint 264",,-184.30,269738.20
01/13/2025,98100529,Hourly,"Invoice for Vanguard Software Studio - Sprint 265",,1137.00,270875.20
01/13/2025,98100530,Service Fee,"Service Fee for Vanguard Software Studio - Sprint 265",,-113.70,270761.50
02/14/2026,98100531,Fixed Price,"Invoice for Nexus Systems - Sprint 266",,431.00,271192.50
02/14/2026,98100532,Service Fee,"Service Fee for Nexus Systems - Sprint 266",,-43.10,271149.40
03/15/2025,98100533,Hourly,"Invoice for CyberPulse Interactive - Sprint 267",,1528.00,272677.40
03/15/2025,98100534,Service Fee,"Service Fee for CyberPulse Interactive - Sprint 267",,-152.80,272524.60
04/16/2026,98100535,Fixed Price,"Invoice for BlueSky Solutions - Sprint 268",,541.00,273065.60
04/16/2026,98100536,Service Fee,"Service Fee for BlueSky Solutions - Sprint 268",,-54.10,273011.50
05/17/2025,98100537,Hourly,"Invoice for Starlight Interactive - Sprint 269",,771.00,273782.50
05/17/2025,98100538,Service Fee,"Service Fee for Starlight Interactive - Sprint 269",,-77.10,273705.40
06/18/2026,98100539,Fixed Price,"Invoice for Quantum Code Soft - Sprint 270",,1781.00,275486.40
06/18/2026,98100540,Service Fee,"Service Fee for Quantum Code Soft - Sprint 270",,-178.10,275308.30
07/19/2025,98100541,Hourly,"Invoice for TechFlow Labs LLC - Sprint 271",,721.00,276029.30
07/19/2025,98100542,Service Fee,"Service Fee for TechFlow Labs LLC - Sprint 271",,-72.10,275957.20
08/20/2026,98100543,Fixed Price,"Invoice for Acme Corp - Sprint 272",,892.00,276849.20
08/20/2026,98100544,Service Fee,"Service Fee for Acme Corp - Sprint 272",,-89.20,276760.00
09/21/2025,98100545,Hourly,"Invoice for Horizon Media Ltd - Sprint 273",,793.00,277553.00
